run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 14:30:00,BUY,4367.96,4357.57,2026-08-13 14:30:15,4357.454,sl 4357.570,-10.51,71.28,10.390000000000327,-1.0115495668912098,0.25,4357.57,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 15:30:00,BUY,4365.593,4352.862,2026-08-13 16:17:52,4352.789,sl 4352.862,-12.8,58.48,12.730999999999767,-1.0054198413321997,47.86666666666667,4352.862,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 17:00:00,BUY,4367.326,4355.503,2026-08-13 18:25:52,4355.265,sl 4355.503,-12.06,46.42,11.82300000000032,-1.020045673686854,85.86666666666666,4355.503,False,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-17 02:00:00,BUY,4395.954,4386.537,2026-08-17 05:14:45,4387.018,sl 4387.047,-8.93,91.07,9.416999999999462,-0.9482850164596486,194.75,4387.047,True,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-17 05:15:00,BUY,4387.934,4380.958,2026-08-17 07:37:45,4410.946,,23.02,114.09,6.9760000000005675,3.299885321100649,142.75,,False,other
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-17 09:15:00,BUY,4399.208,4392.648,2026-08-17 09:46:10,4392.532,sl 4392.648,-6.68,107.41,6.559999999999491,-1.0182926829269083,31.166666666666668,4392.648,False,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-17 10:15:00,BUY,4396.086,4390.089,2026-08-17 10:36:52,4396.163,sl 4396.396,0.07,107.48,5.997000000000298,0.01167250291812515,21.866666666666667,4396.396,True,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-17 10:45:00,BUY,4398.302,4391.733,2026-08-17 12:01:06,4395.143,sl 4395.296,-3.16,104.32,6.568999999999505,-0.4810473435835345,76.1,4395.296,True,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-17 12:30:00,BUY,4386.074,4379.012,2026-08-17 12:42:13,4379.722,sl 4379.727,-6.35,97.97,7.061999999999898,-0.8991787029170336,12.216666666666667,4379.727,True,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-17 13:15:00,BUY,4386.546,4378.529,2026-08-17 13:57:08,4412.227,,25.68,123.65,8.016999999999825,3.2031932144194286,42.13333333333333,,False,other
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-17 14:15:00,BUY,4412.525,4402.817,2026-08-17 17:39:23,4412.768,sl 4412.775,0.24,123.89,9.707999999999629,0.024721878862794516,204.38333333333333,4412.775,True,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-17 17:45:00,BUY,4417.529,4410.096,2026-08-17 18:24:29,4410.026,sl 4410.096,-7.5,116.39,7.433000000000902,-1.0090138571235154,39.483333333333334,4410.096,False,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-17 19:00:00,BUY,4406.606,4399.567,2026-08-17 23:00:17,4409.939,sl 4410.250,3.33,119.72,7.03899999999976,0.4730785622957968,240.28333333333333,4410.25,True,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-17 23:30:00,BUY,4420.381,4415.243,2026-08-18 00:00:26,4423.311,sl 4423.331,2.93,122.12,5.13799999999992,0.5702608018684402,30.433333333333334,4423.331,True,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-18 00:15:00,BUY,4421.82,4417.064,2026-08-18 01:16:39,4427.917,sl 4428.002,6.1,128.22,4.755999999999403,1.2825904121111784,61.65,4428.002,True,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-18 01:30:00,BUY,4425.251,4418.705,2026-08-18 01:41:50,4418.655,sl 4418.705,-6.59,121.63,6.5460000000002765,-1.0067216620836728,11.833333333333334,4418.705,False,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-18 01:45:00,BUY,4412.136,4404.827,2026-08-18 01:47:33,4404.821,sl 4404.827,-7.32,114.31,7.3090000000001965,-1.0015049938431801,2.55,4404.827,False,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-18 02:00:00,BUY,4408.182,4400.678,2026-08-18 02:06:44,4400.666,sl 4400.678,-7.51,106.8,7.503999999999905,-1.0007995735607802,6.733333333333333,4400.678,False,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-18 03:00:00,BUY,4399.895,4391.859,2026-08-18 03:51:56,4391.839,sl 4391.859,-8.06,98.74,8.036000000000058,-1.0029865604778425,51.93333333333333,4391.859,False,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-18 04:00:00,BUY,4392.167,4384.76,2026-08-18 05:30:56,4387.527,sl 4387.649,-4.64,94.1,7.407000000000153,-0.6264344538949512,90.93333333333334,4387.649,True,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-18 06:00:00,BUY,4394.423,4389.252,2026-08-18 06:04:21,4389.231,sl 4389.252,-5.19,88.91,5.170999999999367,-1.0036743376524146,4.35,4389.252,False,sl
wk_2026-08-17__M15sig,2026-08-17 (Mon-Fri),M15sig,2026-08-18 06:15:00,BUY,4395.292,4390.182,2026-08-18 07:57:18,4395.956,sl 4396.044,0.67,89.58,5.110000000000582,0.13111545988256823,102.3,4396.044,True,sl
